variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,body_frac_min,close_near_high_max,breakout_buffer_atr,exit_profile,winner_loser_ratio,return_over_dd
QX_B0.50_C0.20_BUF0.10_RUNNER,chase,0.01637138918282477,-0.009062871218856738,18,174.90187546600572,166.73300786600572,2.925117717129797,50.66845221977789,-6.662250248683366,9.262944881444762,1.3936762456939988,86.17751472882284,-2.8602679717864223,0.5,0.2,0.1,RUNNER,7.605306064537473,1.806424121834756
QX_B0.50_C0.20_BUF0.15_RUNNER,chase,0.01637138918282477,-0.009062871218856738,18,174.90187546600572,166.73300786600572,2.925117717129797,50.66845221977789,-6.662250248683366,9.262944881444762,1.3936762456939988,86.17751472882284,-2.8602679717864223,0.5,0.2,0.15,RUNNER,7.605306064537473,1.806424121834756
QX_B0.60_C0.25_BUF0.05_RUNNER,chase,0.016109853902741333,-0.009032810452836437,20,173.39064500994715,164.50630405494712,2.5054198084341683,45.63038944158438,-7.805430899611366,8.225315202747357,1.5929015035120333,83.9508109177643,-2.615570825939579,0.6,0.25,0.05,RUNNER,5.845979553013059,1.7834818949048796
QX_B0.60_C0.30_BUF0.05_RUNNER,chase,0.015837540213461843,-0.009027387229322614,21,171.22102772850343,162.01011631350346,2.3740275280151804,46.653174469848175,-7.860595367039038,7.714767443500165,1.4670627055608088,81.45462317632058,-2.611693559515698,0.6,0.3,0.05,RUNNER,5.9350688200379516,1.7543880428678853
QX_B0.50_C0.25_BUF0.05_RUNNER,chase,0.015822861836075175,-0.009032810452836437,21,170.8177336776184,161.75744807761836,2.4439420573385924,45.63038944158438,-7.4683259047925254,7.702735622743732,1.4644102697156538,81.20195494043554,-2.0871522535353373,0.5,0.25,0.05,RUNNER,6.109855143346482,1.7517097163382367
QX_B0.55_C0.25_BUF0.05_RUNNER,chase,0.015822861836075175,-0.009032810452836437,21,170.8177336776184,161.75744807761836,2.4439420573385924,45.63038944158438,-7.4683259047925254,7.702735622743732,1.4644102697156538,81.20195494043554,-2.0871522535353373,0.55,0.25,0.05,RUNNER,6.109855143346482,1.7517097163382367
QX_B0.50_C0.30_BUF0.05_RUNNER,chase,0.015550548146795906,-0.009027387229322614,22,168.6481163961747,159.26126033617473,2.3199418369798024,46.653174469848175,-7.541111655182145,7.239148197098851,1.3501319277529562,78.70576719899185,-2.107470252512735,0.5,0.3,0.05,RUNNER,6.186511565279474,1.7225967770923647
QX_B0.55_C0.30_BUF0.05_RUNNER,chase,0.015550548146795906,-0.009027387229322614,22,168.6481163961747,159.26126033617473,2.3199418369798024,46.653174469848175,-7.541111655182145,7.239148197098851,1.3501319277529562,78.70576719899185,-2.107470252512735,0.55,0.3,0.05,RUNNER,6.186511565279474,1.7225967770923647
QX_B0.55_C0.20_BUF0.05_RUNNER,chase,0.014945573656594435,-0.008185339654193546,18,160.7314364642006,152.5247758742006,2.512880186748095,50.66845221977789,-7.755191171129912,8.473598659677812,1.395352149518844,71.96928273701775,-2.923966434279525,0.55,0.2,0.05,RUNNER,6.533488485545047,1.825895355354919
QX_B0.60_C0.20_BUF0.05_RUNNER,chase,0.014945573656594435,-0.008185339654193546,18,160.7314364642006,152.5247758742006,2.512880186748095,50.66845221977789,-7.755191171129912,8.473598659677812,1.395352149518844,71.96928273701775,-2.923966434279525,0.6,0.2,0.05,RUNNER,6.533488485545047,1.825895355354919
