variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,breakout_lookback,stop_atr,range_expand_mult,winner_loser_ratio,return_over_dd
XP_TK24_BL21_ST2.2_RE1.3,chase,0.013977659038037604,-0.012033916545568957,12,154.5492101004474,141.90312778544737,3.808322829286387,38.48652408881247,-7.218498951230713,11.82526064878728,1.8939237799287294,89.0295248479996,-22.78203362189646,24.0,21,2.2,1.3,5.331651961000942,1.161522018630282
XP_TK24_BL24_ST2.2_RE1.2,chase,0.013977659038037604,-0.012033916545568957,12,154.5492101004474,141.90312778544737,3.808322829286387,38.48652408881247,-7.218498951230713,11.82526064878728,1.8939237799287294,89.0295248479996,-22.78203362189646,24.0,24,2.2,1.2,5.331651961000942,1.161522018630282
XP_TK24_BL24_ST2.2_RE1.3,chase,0.013977659038037604,-0.012033916545568957,12,154.5492101004474,141.90312778544737,3.808322829286387,38.48652408881247,-7.218498951230713,11.82526064878728,1.8939237799287294,89.0295248479996,-22.78203362189646,24.0,24,2.2,1.3,5.331651961000942,1.161522018630282
XP_TK20_BL18_ST2.4_RE1.2,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,20.0,18,2.4,1.2,4.9114855412502,1.1256191184901703
XP_TK20_BL18_ST2.4_RE1.3,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,20.0,18,2.4,1.3,4.9114855412502,1.1256191184901703
XP_TK20_BL21_ST2.4_RE1.2,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,20.0,21,2.4,1.2,4.9114855412502,1.1256191184901703
XP_TK20_BL21_ST2.4_RE1.3,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,20.0,21,2.4,1.3,4.9114855412502,1.1256191184901703
XP_TK20_BL24_ST2.4_RE1.2,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,20.0,24,2.4,1.2,4.9114855412502,1.1256191184901703
XP_TK20_BL24_ST2.4_RE1.3,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,20.0,24,2.4,1.3,4.9114855412502,1.1256191184901703
XP_TK24_BL18_ST2.4_RE1.2,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,24.0,18,2.4,1.2,4.9114855412502,1.1256191184901703
XP_TK24_BL18_ST2.4_RE1.3,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,24.0,18,2.4,1.3,4.9114855412502,1.1256191184901703
XP_TK24_BL21_ST2.4_RE1.2,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,24.0,21,2.4,1.2,4.9114855412502,1.1256191184901703
XP_TK24_BL21_ST2.4_RE1.3,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,24.0,21,2.4,1.3,4.9114855412502,1.1256191184901703
XP_TK24_BL24_ST2.4_RE1.2,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,24.0,24,2.4,1.2,4.9114855412502,1.1256191184901703
XP_TK24_BL24_ST2.4_RE1.3,chase,0.013545606534007604,-0.012033916545568957,12,150.2328964033006,137.5804445883006,3.508203958035857,38.48652408881247,-7.836025122251684,11.46503704902505,1.6874092362912148,84.70684165085281,-24.792375065723423,24.0,24,2.4,1.3,4.9114855412502,1.1256191184901703
