variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_bw_q,range_expand_mult,require_volume,volume_mult,winner_loser_ratio,return_over_dd
SS_BW0.20_RE1.30_VOL_1.2,chase,0.028038561168177267,-0.007047409504731483,14,292.2206248342194,282.74216666421944,5.575979908579742,86.13262471235994,-6.178833218522035,20.195869047444244,2.5152131890499008,100.72247635555803,-18.8427956658169,0.2,1.3,True,1.2,13.939949771449358,3.9785627824454877
SS_BW0.15_RE1.10_NOVOL_1.4,chase,0.02770930874400146,-0.0056812802486614356,15,291.31896515263634,279.7082110376363,4.278970515335308,73.0023757352902,-8.530366763881474,18.647214069175753,2.872477281974302,97.68852072897488,-2.033519387204165,0.15,1.1,False,1.4,8.557941030670618,4.8773001033578725
SS_BW0.25_RE1.20_VOL_1.2,chase,0.02748856483624995,-0.007578634989045652,15,287.0242852151358,277.38204636013586,5.130877720589614,86.13262471235994,-6.104404771754903,18.492136424009058,2.2768615815119904,95.36235605147445,-17.769036599304627,0.25,1.2,True,1.2,14.109913731621438,3.62711291360286
SS_BW0.25_RE1.30_VOL_1.2,chase,0.02748856483624995,-0.007578634989045652,15,287.0242852151358,277.38204636013586,5.130877720589614,86.13262471235994,-6.104404771754903,18.492136424009058,2.2768615815119904,95.36235605147445,-17.769036599304627,0.25,1.3,True,1.2,14.109913731621438,3.62711291360286
SS_BW0.20_RE1.10_VOL_1.2,chase,0.027286857704262424,-0.007052529983866407,15,285.10553302916765,275.4170521691677,4.984999524669682,86.13262471235994,-6.283040607297463,18.361136811277845,2.27699415725607,93.3973618605063,-19.37993662215172,0.2,1.1,True,1.2,13.708748692841626,3.8690877978093976
SS_BW0.25_RE1.10_VOL_1.2,chase,0.026736861372334886,-0.007584141443907844,16,279.90919341008413,270.0569318650841,4.626211860133056,86.13262471235994,-6.2061305820296395,16.878558241567756,2.068428214676393,88.03724155642271,-18.33971618752554,0.25,1.1,True,1.2,13.878635580399166,3.525364284155322
SS_BW0.20_RE1.10_NOVOL_1.4,chase,0.02610855423196523,-0.006411352384699254,17,276.0664817605807,264.03317966058074,3.614741348757958,73.0023757352902,-8.41489158465586,15.531363509445926,2.4108776601410082,82.01348935191929,-16.40332568840629,0.2,1.1,False,1.4,8.675379237019099,4.072238221420104
SS_BW0.25_RE1.10_NOVOL_1.4,chase,0.02610855423196523,-0.006411352384699254,17,276.0664817605807,264.03317966058074,3.614741348757958,73.0023757352902,-8.41489158465586,15.531363509445926,2.4108776601410082,82.01348935191929,-16.40332568840629,0.25,1.1,False,1.4,8.675379237019099,4.072238221420104
SS_BW0.15_RE1.10_VOL_1.4,chase,0.011676901555418118,-0.006332604704957223,11,126.51591780311333,118.50915153311328,3.69328838030961,54.17026951359279,-5.500207125958136,10.773559230283025,1.767020862358877,23.713602528198116,-4.4226270674129085,0.15,1.1,True,1.4,9.84876901415896,1.8439334364700402
SS_BW0.15_RE1.20_VOL_1.4,chase,0.011676901555418118,-0.006332604704957223,11,126.51591780311333,118.50915153311328,3.69328838030961,54.17026951359279,-5.500207125958136,10.773559230283025,1.767020862358877,23.713602528198116,-4.4226270674129085,0.15,1.2,True,1.4,9.84876901415896,1.8439334364700402
