variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,breakout_lookback,range_expand_mult,stop_atr,trail_atr,winner_loser_ratio,return_over_dd
A_L25_RE1.2_S1.6_T2.0,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,25,1.2,1.6,2.0,7.600773832267171,1.6058806191844601
A_L25_RE1.2_S1.6_T2.4,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,25,1.2,1.6,2.4,7.600773832267171,1.6058806191844601
A_L25_RE1.2_S1.6_T2.8,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,25,1.2,1.6,2.8,7.600773832267171,1.6058806191844601
A_L25_RE1.3_S1.6_T2.0,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,25,1.3,1.6,2.0,7.600773832267171,1.6058806191844601
A_L25_RE1.3_S1.6_T2.4,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,25,1.3,1.6,2.4,7.600773832267171,1.6058806191844601
A_L25_RE1.3_S1.6_T2.8,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,25,1.3,1.6,2.8,7.600773832267171,1.6058806191844601
A_L15_RE1.4_S1.8_T2.0,chase,0.004764069536403515,-0.005614395485475154,17,56.19906018414915,50.32591278914915,1.6457436189604098,42.75357763732861,-5.566772865916907,2.9603478111264208,0.4804793459090024,-22.123233164315437,-2.4460143206422305,15,1.4,1.8,2.0,7.680136888481912,0.8485454130775977
A_L15_RE1.4_S1.8_T2.4,chase,0.004764069536403515,-0.005614395485475154,17,56.19906018414915,50.32591278914915,1.6457436189604098,42.75357763732861,-5.566772865916907,2.9603478111264208,0.4804793459090024,-22.123233164315437,-2.4460143206422305,15,1.4,1.8,2.4,7.680136888481912,0.8485454130775977
A_L15_RE1.4_S1.8_T2.8,chase,0.004764069536403515,-0.005614395485475154,17,56.19906018414915,50.32591278914915,1.6457436189604098,42.75357763732861,-5.566772865916907,2.9603478111264208,0.4804793459090024,-22.123233164315437,-2.4460143206422305,15,1.4,1.8,2.8,7.680136888481912,0.8485454130775977
A_L20_RE1.4_S1.8_T2.0,chase,0.004716465718504814,-0.005661550838604534,17,55.62476549782636,49.85347940782636,1.6358273907041219,42.75357763732861,-5.600518107439963,2.93255761222508,0.481597985526262,-22.595666545638224,-14.114361624691384,20,1.4,1.8,2.0,7.633861156619236,0.8330695692679383
A_L20_RE1.4_S1.8_T2.4,chase,0.004716465718504814,-0.005661550838604534,17,55.62476549782636,49.85347940782636,1.6358273907041219,42.75357763732861,-5.600518107439963,2.93255761222508,0.481597985526262,-22.595666545638224,-14.114361624691384,20,1.4,1.8,2.4,7.633861156619236,0.8330695692679383
A_L20_RE1.4_S1.8_T2.8,chase,0.004716465718504814,-0.005661550838604534,17,55.62476549782636,49.85347940782636,1.6358273907041219,42.75357763732861,-5.600518107439963,2.93255761222508,0.481597985526262,-22.595666545638224,-14.114361624691384,20,1.4,1.8,2.8,7.633861156619236,0.8330695692679383
A_L25_RE1.4_S1.8_T2.0,chase,0.004716465718504814,-0.005661550838604534,17,55.62476549782636,49.85347940782636,1.6358273907041219,42.75357763732861,-5.600518107439963,2.93255761222508,0.481597985526262,-22.595666545638224,-14.114361624691384,25,1.4,1.8,2.0,7.633861156619236,0.8330695692679383
A_L25_RE1.4_S1.8_T2.4,chase,0.004716465718504814,-0.005661550838604534,17,55.62476549782636,49.85347940782636,1.6358273907041219,42.75357763732861,-5.600518107439963,2.93255761222508,0.481597985526262,-22.595666545638224,-14.114361624691384,25,1.4,1.8,2.4,7.633861156619236,0.8330695692679383
A_L25_RE1.4_S1.8_T2.8,chase,0.004716465718504814,-0.005661550838604534,17,55.62476549782636,49.85347940782636,1.6358273907041219,42.75357763732861,-5.600518107439963,2.93255761222508,0.481597985526262,-22.595666545638224,-14.114361624691384,25,1.4,1.8,2.8,7.633861156619236,0.8330695692679383
A_L15_RE1.4_S1.6_T2.0,chase,0.004122414555958187,-0.005116826634305793,17,49.6594848420211,43.906093197021114,1.6279588481280776,37.941612002069746,-4.9941959149420105,2.582711364530654,0.4698625963976637,-20.41306282272481,-2.1752256555988683,15,1.4,1.6,2.0,7.597141291264362,0.8056584384390582
A_L15_RE1.4_S1.6_T2.4,chase,0.004122414555958187,-0.005116826634305793,17,49.6594848420211,43.906093197021114,1.6279588481280776,37.941612002069746,-4.9941959149420105,2.582711364530654,0.4698625963976637,-20.41306282272481,-2.1752256555988683,15,1.4,1.6,2.4,7.597141291264362,0.8056584384390582
A_L15_RE1.4_S1.6_T2.8,chase,0.004122414555958187,-0.005116826634305793,17,49.6594848420211,43.906093197021114,1.6279588481280776,37.941612002069746,-4.9941959149420105,2.582711364530654,0.4698625963976637,-20.41306282272481,-2.1752256555988683,15,1.4,1.6,2.8,7.597141291264362,0.8056584384390582
A_L20_RE1.4_S1.6_T2.0,chase,0.004081855827392289,-0.00515704462307387,17,49.1485682380675,43.50414239806751,1.6186534882675072,37.941612002069746,-5.02290668629584,2.559067199886324,0.4711863914012293,-20.815013621678418,-12.596560133138258,20,1.4,1.6,2.0,7.5537162785817,0.7915106666188373
