variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_bw_q,squeeze_atr_q,range_pos_threshold,take_R,trail_start_R,winner_loser_ratio,return_over_dd
PP_BW0.25_AQ0.35_RP0.65_TK8_TS1.2,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.25,0.35,0.65,8.0,1.2,6.071547788501796,1.4210196705605824
PP_BW0.25_AQ0.35_RP0.65_TK8_TS1.6,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.25,0.35,0.65,8.0,1.6,6.071547788501796,1.4210196705605824
PP_BW0.25_AQ0.35_RP0.65_TK8_TS2.0,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.25,0.35,0.65,8.0,2.0,6.071547788501796,1.4210196705605824
PP_BW0.30_AQ0.30_RP0.55_TK8_TS1.2,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.3,0.3,0.55,8.0,1.2,6.071547788501796,1.4210196705605824
PP_BW0.30_AQ0.30_RP0.55_TK8_TS1.6,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.3,0.3,0.55,8.0,1.6,6.071547788501796,1.4210196705605824
PP_BW0.30_AQ0.30_RP0.55_TK8_TS2.0,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.3,0.3,0.55,8.0,2.0,6.071547788501796,1.4210196705605824
PP_BW0.30_AQ0.30_RP0.60_TK8_TS1.2,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.3,0.3,0.6,8.0,1.2,6.071547788501796,1.4210196705605824
PP_BW0.30_AQ0.30_RP0.60_TK8_TS1.6,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.3,0.3,0.6,8.0,1.6,6.071547788501796,1.4210196705605824
PP_BW0.30_AQ0.30_RP0.60_TK8_TS2.0,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.3,0.3,0.6,8.0,2.0,6.071547788501796,1.4210196705605824
PP_BW0.30_AQ0.30_RP0.65_TK8_TS1.2,chase,0.014979784871062218,-0.010541574604067794,22,163.01038117123932,153.53520091123934,2.2768304206881735,45.63038944158438,-7.515445983641685,6.978872768692697,1.3515972760726636,72.97970777405646,-4.656182193955383,0.3,0.3,0.65,8.0,1.2,6.071547788501796,1.4210196705605824
