variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,trail_atr,stop_atr,breakout_lookback,winner_loser_ratio,return_over_dd
PC_TK18_TR2.0_ST2.0_BL15,chase,0.029179644648995362,-0.0056729562275419365,16,306.3153271435643,294.43658702356424,5.171949986005064,73.0023757352902,-6.4159356048078875,18.402286688972765,2.6167882057254053,112.41689671490286,-1.9191598905821081,18.0,2.0,2.0,15,11.37828996921114,5.143640013883688
PC_TK18_TR2.4_ST2.0_BL12,chase,0.029179644648995362,-0.0056729562275419365,16,306.3153271435643,294.43658702356424,5.171949986005064,73.0023757352902,-6.4159356048078875,18.402286688972765,2.6167882057254053,112.41689671490286,-1.9191598905821081,18.0,2.4,2.0,12,11.37828996921114,5.143640013883688
PC_TK18_TR2.4_ST2.0_BL15,chase,0.029179644648995362,-0.0056729562275419365,16,306.3153271435643,294.43658702356424,5.171949986005064,73.0023757352902,-6.4159356048078875,18.402286688972765,2.6167882057254053,112.41689671490286,-1.9191598905821081,18.0,2.4,2.0,15,11.37828996921114,5.143640013883688
PC_TK18_TR2.8_ST2.0_BL12,chase,0.029179644648995362,-0.0056729562275419365,16,306.3153271435643,294.43658702356424,5.171949986005064,73.0023757352902,-6.4159356048078875,18.402286688972765,2.6167882057254053,112.41689671490286,-1.9191598905821081,18.0,2.8,2.0,12,11.37828996921114,5.143640013883688
PC_TK18_TR2.8_ST2.0_BL15,chase,0.029179644648995362,-0.0056729562275419365,16,306.3153271435643,294.43658702356424,5.171949986005064,73.0023757352902,-6.4159356048078875,18.402286688972765,2.6167882057254053,112.41689671490286,-1.9191598905821081,18.0,2.8,2.0,15,11.37828996921114,5.143640013883688
PC_TK14_TR2.0_ST2.4_BL12,chase,0.02859777448964973,-0.005924247577496766,15,299.87541210758457,288.70184772258455,4.61243568435762,73.72414741343268,-7.991888934457883,19.246789848172302,2.6161047639989996,118.87003656450067,-2.4201290091396572,14.0,2.0,2.4,12,9.22487136871524,4.827241622763754
PC_TK14_TR2.0_ST2.4_BL15,chase,0.02859777448964973,-0.005924247577496766,15,299.87541210758457,288.70184772258455,4.61243568435762,73.72414741343268,-7.991888934457883,19.246789848172302,2.6161047639989996,118.87003656450067,-2.4201290091396572,14.0,2.0,2.4,15,9.22487136871524,4.827241622763754
PC_TK14_TR2.4_ST2.4_BL12,chase,0.02859777448964973,-0.005924247577496766,15,299.87541210758457,288.70184772258455,4.61243568435762,73.72414741343268,-7.991888934457883,19.246789848172302,2.6161047639989996,118.87003656450067,-2.4201290091396572,14.0,2.4,2.4,12,9.22487136871524,4.827241622763754
PC_TK14_TR2.4_ST2.4_BL15,chase,0.02859777448964973,-0.005924247577496766,15,299.87541210758457,288.70184772258455,4.61243568435762,73.72414741343268,-7.991888934457883,19.246789848172302,2.6161047639989996,118.87003656450067,-2.4201290091396572,14.0,2.4,2.4,15,9.22487136871524,4.827241622763754
PC_TK14_TR2.8_ST2.4_BL12,chase,0.02859777448964973,-0.005924247577496766,15,299.87541210758457,288.70184772258455,4.61243568435762,73.72414741343268,-7.991888934457883,19.246789848172302,2.6161047639989996,118.87003656450067,-2.4201290091396572,14.0,2.8,2.4,12,9.22487136871524,4.827241622763754
